Starting...
Gathering coverage... done in 150.127791ms
   TIMED OUT CONDITIONALS_NEGATION at archivemove.go:45:40
   TIMED OUT CONDITIONALS_NEGATION at archivemove.go:55:50
   TIMED OUT CONDITIONALS_NEGATION at archivemove.go:52:51
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:100:13
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:95:12
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:84:9
   TIMED OUT CONDITIONALS_NEGATION at archivemove.go:38:41
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:91:10
   TIMED OUT CONDITIONALS_NEGATION at archivemove.go:39:10
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:106:15
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:112:10
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:118:13
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:139:10
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:200:13
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:122:68
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:155:10
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:159:10
   TIMED OUT CONDITIONALS_BOUNDARY at discovery.go:122:68
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:130:9
   TIMED OUT CONDITIONALS_NEGATION at discovery.go:134:9
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:90:27
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:126:46
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:176:32
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:132:36
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:176:32
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:135:33
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:129:52
 NOT COVERED CONDITIONALS_NEGATION at manifest.go:236:7
 NOT COVERED CONDITIONALS_NEGATION at manifest.go:236:29
 NOT COVERED CONDITIONALS_NEGATION at manifest.go:239:22
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:135:33
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:90:27
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:132:36
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:179:32
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:179:32
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:182:29
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:218:49
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:248:14
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:221:30
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:254:13
   TIMED OUT CONDITIONALS_BOUNDARY at manifest.go:182:29
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:255:37
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:259:13
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:260:37
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:264:19
   TIMED OUT CONDITIONALS_NEGATION at open.go:44:9
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:265:43
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:269:17
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:269:44
   TIMED OUT CONDITIONALS_NEGATION at open.go:48:9
   TIMED OUT CONDITIONALS_NEGATION at open.go:53:9
   TIMED OUT CONDITIONALS_NEGATION at manifest.go:270:46
   TIMED OUT CONDITIONALS_NEGATION at open.go:84:9
   TIMED OUT CONDITIONALS_NEGATION at open.go:91:9
   TIMED OUT ARITHMETIC_BASE at paths.go:195:55
   TIMED OUT ARITHMETIC_BASE at paths.go:174:60
   TIMED OUT ARITHMETIC_BASE at paths.go:225:68
   TIMED OUT ARITHMETIC_BASE at paths.go:242:56
   TIMED OUT ARITHMETIC_BASE at paths.go:225:63
   TIMED OUT ARITHMETIC_BASE at paths.go:234:51
   TIMED OUT ARITHMETIC_BASE at paths.go:254:57
   TIMED OUT ARITHMETIC_BASE at paths.go:225:58
   TIMED OUT ARITHMETIC_BASE at paths.go:273:66
   TIMED OUT ARITHMETIC_BASE at paths.go:292:71
   TIMED OUT ARITHMETIC_BASE at paths.go:298:61
   TIMED OUT ARITHMETIC_BASE at paths.go:386:84
   TIMED OUT CONDITIONALS_NEGATION at paths.go:460:10
   TIMED OUT CONDITIONALS_NEGATION at refpath.go:77:28
   TIMED OUT CONDITIONALS_NEGATION at paths.go:458:12
   TIMED OUT CONDITIONALS_NEGATION at paths.go:458:24
   TIMED OUT ARITHMETIC_BASE at paths.go:365:75
   TIMED OUT CONDITIONALS_NEGATION at refpath.go:77:17
   TIMED OUT CONDITIONALS_NEGATION at refpath.go:88:21
 NOT COVERED CONDITIONALS_BOUNDARY at slug.go:44:9
 NOT COVERED CONDITIONALS_NEGATION at slug.go:44:9
 NOT COVERED CONDITIONALS_BOUNDARY at slug.go:44:21
 NOT COVERED CONDITIONALS_NEGATION at slug.go:44:21
 NOT COVERED CONDITIONALS_BOUNDARY at slug.go:46:9
 NOT COVERED CONDITIONALS_NEGATION at slug.go:46:9
 NOT COVERED CONDITIONALS_BOUNDARY at slug.go:46:21
 NOT COVERED CONDITIONALS_NEGATION at slug.go:46:21
 NOT COVERED CONDITIONALS_NEGATION at slug.go:48:9
 NOT COVERED CONDITIONALS_NEGATION at slug.go:48:21
 NOT COVERED CONDITIONALS_NEGATION at slug.go:48:33
   TIMED OUT CONDITIONALS_NEGATION at refpath.go:92:22
   TIMED OUT CONDITIONALS_NEGATION at refpath.go:92:37
   TIMED OUT CONDITIONALS_NEGATION at root.go:70:13
   TIMED OUT CONDITIONALS_NEGATION at root.go:25:9
   TIMED OUT CONDITIONALS_NEGATION at root.go:21:14
   TIMED OUT CONDITIONALS_NEGATION at root.go:57:9
   TIMED OUT CONDITIONALS_NEGATION at root.go:53:10
   TIMED OUT CONDITIONALS_NEGATION at root.go:29:9
   TIMED OUT CONDITIONALS_NEGATION at root.go:42:13
   TIMED OUT CONDITIONALS_NEGATION at slug.go:66:45
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:51:9
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:63:73
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:88:10
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:72:11
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:101:30
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:104:22
   TIMED OUT CONDITIONALS_NEGATION at treehash.go:107:21

Mutation testing completed in 7 seconds 796 milliseconds
Killed: 0, Lived: 0, Not covered: 14
Timed out: 87, Not viable: 0, Skipped: 0
Test efficacy: 0.00%
Mutator coverage: 0.00%
