commitdesign.test  -test.paniconexit0	add	--
commitdesign.test  -test.paniconexit0	commit	-m
commitdesign.test  -test.paniconexit0	diff	--name-status -M
commitdesign.test  -test.paniconexit0	log	-1 --format=%cI
commitdesign.test  -test.paniconexit0	ls-files	
commitdesign.test  -test.paniconexit0	merge-base	--is-ancestor
commitdesign.test  -test.paniconexit0	rev-parse	--verify
commitdesign.test  -test.paniconexit0	rev-parse	--verify -q
commitdesign.test  -test.paniconexit0	status	--porcelain -z --untracked-files=no
commitdesign.test  -test.paniconexit0	status	--porcelain=v1 -z --untracked-files=all
designapp.test  -test.paniconexit0	diff	--name-status -M
designapp.test  -test.paniconexit0	for-each-ref	--format=%(refname:short)
designapp.test  -test.paniconexit0	ls-files	
designapp.test  -test.paniconexit0	ls-tree	--
designapp.test  -test.paniconexit0	ls-tree	--name-only --
designapp.test  -test.paniconexit0	ls-tree	-r --name-only --
designapp.test  -test.paniconexit0	merge-base	
designapp.test  -test.paniconexit0	rev-list	--first-parent --reverse --
designapp.test  -test.paniconexit0	rev-parse	--verify
designapp.test  -test.paniconexit0	show	
designapp.test  -test.paniconexit0	show-ref	--verify --quiet
designapp.test  -test.paniconexit0	status	--porcelain
designapp.test  -test.paniconexit0	symbolic-ref	--short -q
verdi audit	rev-parse	--git-dir
verdi audit	show-ref	--verify --quiet
verdi audit	symbolic-ref	--short -q
verdi build start	checkout	-b
verdi build start	config	--local --get-all
verdi build start	ls-tree	--
verdi build start	ls-tree	-r --name-only --
verdi build start	ls-tree	-rz --full-tree
verdi build start	remote	
verdi build start	rev-list	--first-parent --reverse --
verdi build start	rev-parse	--verify
verdi build start	show	
verdi build start	show-ref	--verify --quiet
verdi build start	status	--porcelain
verdi build start	status	--porcelain -z --untracked-files=no
verdi build start	status	--porcelain=v1 -z --untracked-files=all
verdi build start	symbolic-ref	--short -q
verdi close --context-request	ls-tree	--
verdi close --context-request	ls-tree	-r --name-only --
verdi close --context-request	ls-tree	-rz --full-tree
verdi close --context-request	remote	
verdi close --context-request	rev-list	--first-parent --reverse --
verdi close --context-request	rev-parse	--verify
verdi close --context-request	show	
verdi close --context-request	show-ref	--verify --quiet
verdi close --context-request	status	--porcelain
verdi close --context-request	status	--porcelain -z --untracked-files=no
verdi close --context-request	status	--porcelain=v1 -z --untracked-files=all
verdi close --context-request	symbolic-ref	--short -q
verdi close --force-local	add	--
verdi close --force-local	checkout	-b
verdi close --force-local	commit	-m
verdi close --force-local	log	-1 --format=%cI
verdi close --force-local	ls-tree	--
verdi close --force-local	ls-tree	--name-only --
verdi close --force-local	ls-tree	-r --name-only --
verdi close --force-local	ls-tree	-rz --full-tree
verdi close --force-local	remote	
verdi close --force-local	rev-list	--first-parent --reverse --
verdi close --force-local	rev-parse	--verify
verdi close --force-local	show	
verdi close --force-local	show-ref	--verify --quiet
verdi close --force-local	status	--porcelain
verdi close --force-local	status	--porcelain -z --untracked-files=no
verdi close --force-local	status	--porcelain=v1 -z --untracked-files=all
verdi close --force-local	symbolic-ref	--short -q
verdi close --preflight	ls-tree	--
verdi close --preflight	ls-tree	--name-only --
verdi close --preflight	ls-tree	-r --name-only --
verdi close --preflight	ls-tree	-rz --full-tree
verdi close --preflight	remote	
verdi close --preflight	rev-list	--first-parent --reverse --
verdi close --preflight	rev-parse	--verify
verdi close --preflight	show	
verdi close --preflight	show-ref	--verify --quiet
verdi close --preflight	status	--porcelain
verdi close --preflight	status	--porcelain -z --untracked-files=no
verdi close --preflight	status	--porcelain=v1 -z --untracked-files=all
verdi close --preflight	symbolic-ref	--short -q
verdi close --prepare	remote	
verdi close --prepare	rev-parse	--verify
verdi close --prepare	status	--porcelain -z --untracked-files=no
verdi close spec/close-feature-fixture	hash-object	
verdi close spec/close-feature-fixture	ls-files	--cached --others --exclude-standard
verdi close spec/close-feature-fixture	ls-tree	--
verdi close spec/close-feature-fixture	ls-tree	-r --name-only --
verdi close spec/close-feature-fixture	ls-tree	-rz --full-tree
verdi close spec/close-feature-fixture	remote	
verdi close spec/close-feature-fixture	rev-list	--first-parent --reverse --
verdi close spec/close-feature-fixture	rev-parse	--verify
verdi close spec/close-feature-fixture	show	
verdi close spec/close-feature-fixture	show-ref	--verify --quiet
verdi close spec/close-feature-fixture	status	--porcelain
verdi close spec/close-feature-fixture	status	--porcelain -z --untracked-files=no
verdi close spec/close-feature-fixture	status	--porcelain=v1 -z --untracked-files=all
verdi close spec/close-feature-fixture	symbolic-ref	--short -q
verdi close spec/close-fixture	hash-object	
verdi close spec/close-fixture	ls-files	--cached --others --exclude-standard
verdi close spec/close-fixture	ls-tree	--
verdi close spec/close-fixture	ls-tree	-r --name-only --
verdi close spec/close-fixture	ls-tree	-rz --full-tree
verdi close spec/close-fixture	merge-base	--is-ancestor
verdi close spec/close-fixture	remote	
verdi close spec/close-fixture	rev-list	--first-parent --reverse --
verdi close spec/close-fixture	rev-parse	--verify
verdi close spec/close-fixture	rev-parse	--verify -q
verdi close spec/close-fixture	show	
verdi close spec/close-fixture	show-ref	--verify --quiet
verdi close spec/close-fixture	status	--porcelain
verdi close spec/close-fixture	status	--porcelain -z --untracked-files=no
verdi close spec/close-fixture	status	--porcelain=v1 -z --untracked-files=all
verdi close spec/close-fixture	symbolic-ref	--short -q
verdi close spec/quarantine-story	ls-tree	--
verdi close spec/quarantine-story	ls-tree	-r --name-only --
verdi close spec/quarantine-story	ls-tree	-rz --full-tree
verdi close spec/quarantine-story	remote	
verdi close spec/quarantine-story	rev-list	--first-parent --reverse --
verdi close spec/quarantine-story	rev-parse	--git-dir
verdi close spec/quarantine-story	rev-parse	--is-shallow-repository
verdi close spec/quarantine-story	rev-parse	--verify
verdi close spec/quarantine-story	rev-parse	--verify -q
verdi close spec/quarantine-story	show	
verdi close spec/quarantine-story	show-ref	--verify --quiet
verdi close spec/quarantine-story	status	--porcelain -z --untracked-files=no
verdi close spec/quarantine-story	symbolic-ref	--short -q
verdi context compile	ls-tree	--
verdi context compile	ls-tree	-r --name-only --
verdi context compile	ls-tree	-rz --full-tree
verdi context compile	remote	
verdi context compile	rev-list	--first-parent --reverse --
verdi context compile	rev-parse	--verify
verdi context compile	show	
verdi context compile	show-ref	--verify --quiet
verdi context compile	status	--porcelain
verdi context compile	status	--porcelain -z --untracked-files=no
verdi context compile	status	--porcelain=v1 -z --untracked-files=all
verdi context compile	symbolic-ref	--short -q
verdi context conflict	config	--local --get-all
verdi context conflict	hash-object	
verdi context conflict	ls-files	--cached --others --exclude-standard
verdi context conflict	ls-tree	--
verdi context conflict	ls-tree	-r --name-only --
verdi context conflict	ls-tree	-rz --full-tree
verdi context conflict	remote	
verdi context conflict	rev-list	--first-parent --reverse --
verdi context conflict	rev-parse	--verify
verdi context conflict	show	
verdi context conflict	show-ref	--verify --quiet
verdi context conflict	status	--porcelain
verdi context conflict	status	--porcelain -z --untracked-files=no
verdi context conflict	status	--porcelain=v1 -z --untracked-files=all
verdi context conflict	symbolic-ref	--short -q
verdi context constitution	add	--
verdi context constitution	checkout	-b
verdi context constitution	commit	-m
verdi context constitution	ls-tree	-rtz --full-tree
verdi context constitution	rev-parse	--verify
verdi context constitution	show	
verdi context constitution	show-ref	--verify --quiet
verdi context constitution	status	--porcelain
verdi context constitution	symbolic-ref	--short -q
verdi context execution	diff	--name-status -M -C --find-copies-harder
verdi context execution	ls-tree	--
verdi context execution	ls-tree	-r --name-only --
verdi context execution	ls-tree	-rz --full-tree
verdi context execution	merge	--ff-only
verdi context execution	merge-base	--is-ancestor
verdi context execution	remote	
verdi context execution	rev-list	--first-parent --reverse --
verdi context execution	rev-parse	--git-common-dir
verdi context execution	rev-parse	--verify
verdi context execution	show	
verdi context execution	show-ref	--verify --quiet
verdi context execution	status	--porcelain
verdi context execution	status	--porcelain -z --untracked-files=no
verdi context execution	status	--porcelain=v1 -z --untracked-files=all
verdi context execution	symbolic-ref	--short -q
verdi context execution	worktree	--detach
verdi context execution	worktree	--porcelain
verdi context mcp	rev-parse	--verify
verdi context mcp	status	--porcelain
verdi context resolve	ls-tree	--
verdi context resolve	ls-tree	-r --name-only --
verdi context resolve	ls-tree	-rz --full-tree
verdi context resolve	remote	
verdi context resolve	rev-list	--first-parent --reverse --
verdi context resolve	rev-parse	--verify
verdi context resolve	show	
verdi context resolve	show-ref	--verify --quiet
verdi context resolve	status	--porcelain
verdi context resolve	status	--porcelain -z --untracked-files=no
verdi context resolve	status	--porcelain=v1 -z --untracked-files=all
verdi context resolve	symbolic-ref	--short -q
verdi design board	diff	--name-status -M
verdi design board	for-each-ref	--format=%(refname:short)
verdi design board	ls-files	
verdi design board	ls-tree	--
verdi design board	merge-base	
verdi design board	rev-parse	--verify
verdi design board	show-ref	--verify --quiet
verdi design board	status	--porcelain
verdi design board	symbolic-ref	--short -q
verdi design capabilities	ls-tree	--
verdi design capabilities	rev-parse	--verify
verdi design capabilities	show-ref	--verify --quiet
verdi design capabilities	symbolic-ref	--short -q
verdi design context	rev-parse	--verify
verdi design context	symbolic-ref	--short -q
verdi design import	commit-tree	-p -m
verdi design import	diff	--name-status -M
verdi design import	hash-object	
verdi design import	hash-object	-w --stdin
verdi design import	ls-files	--cached --others --exclude-standard
verdi design import	ls-tree	--
verdi design import	ls-tree	-r --name-only --
verdi design import	read-tree	
verdi design import	rev-list	--first-parent --reverse --
verdi design import	rev-parse	--verify
verdi design import	show	
verdi design import	show-ref	--verify --quiet
verdi design import	status	--porcelain=v1 -z --untracked-files=all
verdi design import	symbolic-ref	--short -q
verdi design import	update-index	--add --cacheinfo
verdi design import	update-ref	
verdi design import	write-tree	
verdi design mutate	ls-tree	--
verdi design mutate	rev-parse	--verify
verdi design mutate	show-ref	--verify --quiet
verdi design mutate	symbolic-ref	--short -q
verdi design provenance	rev-parse	--verify
verdi design provenance	symbolic-ref	--short -q
verdi design review	ls-tree	--name-only --
verdi design review	rev-parse	--verify
verdi design review	show-ref	--verify --quiet
verdi design review	symbolic-ref	--short -q
verdi design start	add	--
verdi design start	checkout	-b
verdi design start	commit	-m
verdi design start	ls-tree	--
verdi design start	ls-tree	-r --name-only --
verdi design start	remote	
verdi design start	rev-list	--first-parent --reverse --
verdi design start	rev-parse	--git-dir
verdi design start	rev-parse	--verify
verdi design start	show	
verdi design start	show-ref	--verify --quiet
verdi design start	symbolic-ref	--short -q
